Tamil,English
அகர,akara
முதல,mudhala
எழுத்தெல்லாம்,ezhuththellaam
ஆதி,aadhi
பகவன்,pakavan
முதற்றே,mudhatre
உலகு,ulaku
அறத்துப்பால்,araththuppaal
கற்றதனால்,katradhanaal
ஆய,aaya
பயனென்கொல்,payanenkol
வாலறிவன்,vaalarivan
நற்றாள்,natraal
தொழாஅர்,thozhaaar
எனின்,enin
மலர்மிசை,malarmisai
ஏகினான்,ekinaan
மாணடி,maanati
சேர்ந்தார்,serndhaar
நிலமிசை,nilamisai
நீடுவாழ்,neetuvaazh
வார்,vaar
வேண்டுதல்,ventudhal
வேண்டாமை,ventaamai
இலானடி,ilaanati
சேர்ந்தார்க்கு,serndhaarkku
யாண்டும்,yaantum
இடும்பை,itumpai
இல,ila
இருள்சேர்,irulser
இருவினையும்,iruvinaiyum
சேரா,seraa
இறைவன்,iraivan
பொருள்சேர்,porulser
புகழ்புரிந்தார்,pukazhpurindhaar
மாட்டு,maattu
பொறிவாயில்,porivaayil
ஐந்தவித்தான்,aindhaviththaan
பொய்தீர்,poidheer
ஒழுக்க,ozhukka
நெறிநின்றார்,nerinindraar
தனக்குவமை,thanakkuvamai
இல்லாதான்,illaadhaan
தாள்சேர்ந்தார்க்,thaalserndhaark
கல்லால்,kallaal
மனக்கவலை,manakkavalai
மாற்றல்,maatral
அரிது,aridhu
அறவாழி,aravaazhi
அந்தணன்,andhanan
பிறவாழி,piravaazhi
நீந்தல்,neendhal
கோளில்,kolil
பொறியின்,poriyin
குணமிலவே,kunamilave
எண்குணத்தான்,enkunaththaan
தாளை,thaalai
வணங்காத்,vanangaath
தலை,thalai
பிறவிப்,piravip
பெருங்கடல்,perungatal
நீந்துவர்,neendhuvar
நீந்தார்,neendhaar
அடிசேரா,atiseraa
தார்,thaar
வான்நின்று,vaannindru
உலகம்,ulakam
வழங்கி,vazhangi
வருதலால்,varudhalaal
தான்அமிழ்தம்,thaanamizhdham
என்றுணரற்,endrunarar
பாற்று,paatru
துப்பார்க்குத்,thuppaarkkuth
துப்பாய,thuppaaya
துப்பாக்கித்,thuppaakkith
தூஉம்,thooum
மழை,mazhai
விண்இன்று,vinindru
பொய்ப்பின்,poippin
விரிநீர்,virineer
வியனுலகத்து,viyanulakaththu
உள்நின்று,ulnindru
உடற்றும்,utatrum
பசி,pasi
ஏரின்,erin
உழாஅர்,uzhaaar
உழவர்,uzhavar
புயல்என்னும்,puyalennum
வாரி,vaari
வளங்குன்றிக்,valangundrik
கால்,kaal
கெடுப்பதூஉம்,ketuppadhooum
கெட்டார்க்குச்,kettaarkkuch
சார்வாய்மற்,chaarvaaimar
றாங்கே,raange
எடுப்பதூஉம்,etuppadhooum
எல்லாம்,ellaam
விசும்பின்,visumpin
துளிவீழின்,thuliveezhin
அல்லால்மற்,allaalmar
பசும்புல்,pasumpul
தலைகாண்பு,thalaikaanpu
நெடுங்கடலும்,netungatalum
தன்நீர்மை,thanneermai
குன்றும்,kundrum
தடிந்தெழிலி,thatindhezhili
தான்நல்கா,thaannalkaa
தாகி,thaaki
விடின்,vitin
சிறப்பொடு,sirappotu
பூசனை,poosanai
செல்லாது,sellaadhu
வானம்,vaanam
வறக்குமேல்,varakkumel
வானோர்க்கும்,vaanorkkum
ஈண்டு,eentu
தானம்,thaanam
தவம்இரண்டும்,thavamirantum
தங்கா,thangaa
வியன்உலகம்,viyanulakam
வழங்கா,vazhangaa
தெனின்,thenin
நீர்இன்று,neerindru
அமையாது,amaiyaadhu
உலகெனின்,ulakenin
யார்யார்க்கும்,yaaryaarkkum
வான்இன்று,vaanindru
ஒழுக்கு,ozhukku
